Set Number,Name,Year,Theme ID,Parts,Status,Image URL,Set URL
71803-1,Arin's Rising Dragon Strike,2024,435,27,SETS_USED,https://cdn.rebrickable.com/media/sets/71803-1/133595.jpg,https://rebrickable.com/sets/71803-1/arins-rising-dragon-strike/
71816-1,Zane's Ice Motorcycle,2024,435,84,SETS_SEALED,https://cdn.rebrickable.com/media/sets/71816-1/139985.jpg,https://rebrickable.com/sets/71816-1/zanes-ice-motorcycle/
75193-1,Millennium Falcon Microfighter,2018,158,92,SETS_USED,https://cdn.rebrickable.com/media/sets/75193-1/11275.jpg,https://rebrickable.com/sets/75193-1/millennium-falcon-microfighter/
75271-1,Luke Skywalker's Landspeeder,2020,158,236,SETS_USED,https://cdn.rebrickable.com/media/sets/75271-1/17649.jpg,https://rebrickable.com/sets/75271-1/luke-skywalkers-landspeeder/
75279-1,Star Wars Advent Calendar 2020,2020,209,311,SETS_USED,https://cdn.rebrickable.com/media/sets/75279-1/67267.jpg,https://rebrickable.com/sets/75279-1/star-wars-advent-calendar-2020/
75295-1,Millennium Falcon Microfighter,2021,158,101,SETS_USED,https://cdn.rebrickable.com/media/sets/75295-1/76123.jpg,https://rebrickable.com/sets/75295-1/millennium-falcon-microfighter/
75300-1,Imperial TIE Fighter,2021,158,432,SETS_USED,https://cdn.rebrickable.com/media/sets/75300-1/76116.jpg,https://rebrickable.com/sets/75300-1/imperial-tie-fighter/
75304-1,Darth Vader,2021,158,834,SETS_USED,https://cdn.rebrickable.com/media/sets/75304-1/85224.jpg,https://rebrickable.com/sets/75304-1/darth-vader/
75317-1,The Mandalorian & The Child,2020,610,295,SETS_USED,https://cdn.rebrickable.com/media/sets/75317-1/56203.jpg,https://rebrickable.com/sets/75317-1/the-mandalorian-the-child/
75332-1,AT-ST,2022,158,87,SETS_USED,https://cdn.rebrickable.com/media/sets/75332-1/106814.jpg,https://rebrickable.com/sets/75332-1/at-st/
75333-1,Obi-Wan Kenobi's Jedi Starfighter,2022,158,282,SETS_SEALED,https://cdn.rebrickable.com/media/sets/75333-1/103049.jpg,https://rebrickable.com/sets/75333-1/obi-wan-kenobis-jedi-starfighter/
75344-1,Boba Fett's Starship Microfighter,2023,158,85,SETS_USED,https://cdn.rebrickable.com/media/sets/75344-1/130253.jpg,https://rebrickable.com/sets/75344-1/boba-fetts-starship-microfighter/
75345-1,501st Clone Troopers Battle Pack,2023,158,121,SETS_USED,https://cdn.rebrickable.com/media/sets/75345-1/130256.jpg,https://rebrickable.com/sets/75345-1/501st-clone-troopers-battle-pack/
75355-1,X-Wing Starfighter,2023,171,1949,SETS_USED,https://cdn.rebrickable.com/media/sets/75355-1/119795.jpg,https://rebrickable.com/sets/75355-1/x-wing-starfighter/
75356-1,Executor Super Star Destroyer,2023,158,630,SETS_USED,https://cdn.rebrickable.com/media/sets/75356-1/129771.jpg,https://rebrickable.com/sets/75356-1/executor-super-star-destroyer/
75360-1,Yoda's Jedi Starfighter,2023,158,253,SETS_USED,https://cdn.rebrickable.com/media/sets/75360-1/123571.jpg,https://rebrickable.com/sets/75360-1/yodas-jedi-starfighter/
75363-1,The Mandalorian N-1 Starfighter Microfighter,2023,158,88,SETS_USED,https://cdn.rebrickable.com/media/sets/75363-1/121321.jpg,https://rebrickable.com/sets/75363-1/the-mandalorian-n-1-starfighter-microfighter/
75368-1,Darth Vader Mech,2023,158,139,SETS_USED,https://cdn.rebrickable.com/media/sets/75368-1/122707.jpg,https://rebrickable.com/sets/75368-1/darth-vader-mech/
75369-1,Boba Fett Mech,2023,158,155,SETS_SEALED,https://cdn.rebrickable.com/media/sets/75369-1/122705.jpg,https://rebrickable.com/sets/75369-1/boba-fett-mech/
